title,category,domain,description,more_info,recommended_action,link,apis
Forecast Dataset Export Encrypted,Forecast,Content Delivery,Ensure that AWS Forecast exports have encryption enabled before they are being saved on S3.,"In AWS Forecast, you can save forecast reports on S3 in CSV format. Make sure to encrypt these export before writing them to the bucket in order to follow your organizations\'s security and compliance requirements.",Create Forecast exports with encryption enabled,https://docs.aws.amazon.com/forecast/latest/dg/howitworks-forecast.html,"'ForecastService:listForecastExportJobs', 'KMS:listKeys', 'KMS:describeKey'"
Forecast Dataset Encrypted,Forecast,Content Delivery,Ensure that AWS Forecast datasets are using desired KMS key for data encryption.,Datasets contain the data used to train a predictor. You create one or more Amazon Forecast datasets and import your training data into them. ',Create Forecast datasets using customer-manager KMS keys (CMKs).,https://docs.aws.amazon.com/forecast/latest/dg/API_CreateDataset.html,"'ForecastService:listDatasets', 'ForecastService:describeDataset', 'KMS:describeKey', 'KMS:listKeys'"
Timestream Database Encrypted,Timestream,Databases,Ensure that AWS Timestream databases are encrypted with KMS Customer Master Keys (CMKs) instead of AWS managed-keys.,Timestream encryption at rest provides enhanced security by encrypting all your data at rest using encryption keys. ',Modify Timestream database encryption configuration to use desired encryption key,https://docs.aws.amazon.com/timestream/latest/developerguide/EncryptionAtRest.html,"'TimestreamWrite:listDatabases', 'KMS:describeKey', 'KMS:listKeys'"
Project Artifacts Encrypted,CodeBuild,Application Integration,Ensure that your AWS CodeBuild project artifacts are encrypted with desired encryption level.,"AWS CodeBuild encrypts artifacts such as a cache, logs, exported raw test report data files, and build results ",Encrypt them using customer-managed keys to gain more control over data encryption and decryption process.,https://docs.aws.amazon.com/codebuild/latest/userguide/security-encryption.html,"'CodeBuild:listProjects', 'CodeBuild:batchGetProjects', 'KMS:listKeys', 'KMS:describeKey'"
CodeBuild Valid Source Providers,CodeBuild,Application Integration,Ensure that CodeBuild projects are using only valid source providers.,CodeBuild should use only desired source providers in order to follow your organizations\'s security and compliance requirements.,Edit CodeBuild project source provider information and remove disallowed source providers,https://docs.aws.amazon.com/codebuild/latest/APIReference/API_ProjectSource.html,"'CodeBuild:listProjects', 'CodeBuild:batchGetProjects', 'STS:getCallerIdentity'"
Kinesis Data Streams Encrypted,Kinesis,Content Delivery,Ensures Kinesis data streams are encrypted using AWS KMS key of desired encryption level.,Data sent to Kinesis data streams can be encrypted using KMS server-side encryption. Existing streams can be modified to add encryption with minimal overhead. ,Enable encryption using desired level for all Kinesis streams,https://docs.aws.amazon.com/streams/latest/dev/server-side-encryption.html,"'Kinesis:listStreams', 'Kinesis:describeStream', 'KMS:listKeys', 'KMS:describeKey"
Kinesis Streams Encrypted,Kinesis,Content Delivery,Ensures Kinesis Streams encryption is enabled,Data sent to Kinesis Streams can be encrypted using KMS server-side encryption. Existing streams can be modified to add encryption with minimal overhead.,Enable encryption using KMS for all Kinesis Streams.,https://docs.aws.amazon.com/streams/latest/dev/server-side-encryption.html,"'Kinesis:listStreams', 'Kinesis:describeStream'"
Video Stream Data Encrypted,Kinesis Video Streams,Content Delivery,Ensure that Amazon Kinesis Video Streams is using desired encryption level for Data at-rest.,"Server-side encryption is always enabled on Kinesis video streams data. If a user-provided key is not specified when the stream is created, the default key (provided by Kinesis Video Streams) is used. '",Encrypt Kinesis Video Streams data with customer-manager keys (CMKs).,https://docs.aws.amazon.com/kinesisvideostreams/latest/dg/how-kms.html,"'KinesisVideo:listStreams', 'KMS:describeKey', 'KMS:listKeys'"
Enable All Organization Features,Organizations,Management and Governance,Ensures all Organization features are enabled,All AWS Organizations should be enabled to take advantage of all shared security controls and policies across all member accounts.,Enable all AWS Organizations features.,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_org_support-all-features.html?icmpid=docs_orgs_console,'Organizations:describeOrganization'
Organization Invite,Organizations,Management and Governance,Ensure all Organization invites are accepted,AWS Organizations invites should be accepted or rejected quickly so that member accounts can take advantage of all Organization features.,Enable all AWS Organizations features,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_org_support-all-features.html?icmpid=docs_orgs_console,'Organizations:listHandshakesForAccount'
Shield Advanced Enabled,Shield,Availability,Ensures AWS Shield Advanced is setup and properly configured,AWS Shield Advanced provides enhanced DDOS protection for all enrolled services within a subscribed account. Subscriptions should be active.,Enable AWS Shield Advanced for the account.,https://docs.aws.amazon.com/waf/latest/developerguide/ddos-overview.html#ddos-advanced,'Shield:describeSubscription'
Shield Emergency Contacts,Shield,Availability,Ensures AWS Shield emergency contacts are configured,AWS Shield Emergency contacts should be configured so that AWS can contact an account representative in the event of a DDOS event.,Configure emergency contacts within AWS Shield for the account.,https://docs.aws.amazon.com/waf/latest/developerguide/ddos-edit-drt.html,'Shield:describeEmergencyContactSettings'
Shield Protections,Shield,Availability,Ensures AWS Shield Advanced is configured to protect account resources,"Once AWS Shield Advanced is enabled, it can be applied to resources within the account including ELBs, CloudFront.",Enable AWS Shield Advanced on resources within the account.,https://docs.aws.amazon.com/waf/latest/developerguide/configure-new-protection.html,'Shield:listProtections'
SSM Agent Auto Update Enabled,EC2,Identity Access and Management,Ensures the SSM agent is configured to automatically update to new versions,"To ensure the latest version of the SSM agent is installed, it should be configured to consume automatic updates.",Update the SSM agent configuration for all managed instances to use automatic updates.,https://docs.aws.amazon.com/systems-manager/latest/userguide/ssm-agent-automatic-updates.html,"'SSM:describeInstanceInformation', 'SSM:listAssociations', 'STS:getCallerIdentity'"
SSM Encrypted Parameters,SSM,Identity Access and Management,Ensures SSM Parameters are encrypted,"SSM Parameters should be encrypted. This allows their values to be used by approved systems, while restricting access to other users of the account.",Recreate unencrypted SSM Parameters with Type set to SecureString.,https://docs.aws.amazon.com/systems-manager/latest/userguide/sysman-paramstore-about.html#sysman-paramstore-securestring,"'SSM:describeParameters', 'STS:getCallerIdentity', 'KMS:listAliases', 'KMS:listKeys', 'KMS:describeKey'"
SSM Agent Latest Version,EC2,Identity Access and Management,Ensures SSM agents installed on Linux hosts are running the latest version,SSM agent software provides sensitive access to servers and should be kept up-to-date.,Update the SSM agent on all Linux hosts to the latest version.,https://docs.aws.amazon.com/systems-manager/latest/userguide/ssm-agent-automatic-updates.html,"'SSM:describeInstanceInformation', 'STS:getCallerIdentity'"
SSM Session Duration,EC2,Identity Access and Management,Ensure that all active sessions in the AWS Session Manager do not exceed the duration set in the settings.,The session manager gives users the ability to either open a shell in a EC2 instance or execute commands in a ECS task. This can be useful for when debugging issues in a container or instance.,Terminate all the sessions which exceed the specified duration mentioned in settings.,https://docs.aws.amazon.com/systems-manager/latest/userguide/session-preferences-max-timeout.html,'SSM:describeSessions'
SSM Documents Public Access,SSM,Identity Access and Management,Ensure that SSM service has block public sharing setting enabled.,"Public documents can be viewed by all AWS accounts. To prevent unwanted access to your documents, turn on the block public access sharing setting.",Enable block public sharing setting under SSM  documents preferences.,https://docs.aws.amazon.com/systems-manager/latest/userguide/ssm-share-block.html,"'SSM:getServiceSetting', 'STS:getCallerIdentity'"
SSM Managed Instances,EC2,Identity Access and Management,Ensure that all Amazon EC2 instances are managed by AWS Systems Manager (SSM).,"Systems Manager simplifies AWS cloud resource management, quickly detects and resolve operational problems, and makes it easier to operate and manage your instances securely at large scale.",Configure AWS EC2 instance as SSM Managed Instances,https://docs.aws.amazon.com/systems-manager/latest/userguide/managed_instances.html,"'EC2:describeInstances', 'SSM:describeInstanceInformation', 'STS:getCallerIdentity'"
SSM Agent Active All Instances,EC2,Identity Access and Management,Ensures SSM agents are installed and active on all servers,SSM allows for centralized monitoring of all servers and should be activated on all EC2 instances.,Install SSM on all servers and ensure it is active.,https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-manager-setting-up.html,"'EC2:describeInstances', 'SSM:describeInstanceInformation', 'STS:getCallerIdentity'"
Secrets Manager Secret Rotation Enabled,Secrets Manager,Identity and Access Management,Ensures AWS Secrets Manager is configured to automatically rotate the secret for a secured service or database.,Secrets Manager rotation makes access to your databases and third-party services secure by automatically rotating secrets used to access these resources.,Enable secret rotation for your secrets,https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotating-secrets.html,"'SecretsManager:listSecrets', 'SecretsManager:describeSecret'"
Secrets Manager In Use,Secrets Manager,Identity and Access Management,Ensure that Amazon Secrets Manager service is being used in your account to manage all the credentials.,"Amazon Secrets Manager helps you protect sensitive information needed to access your cloud applications, services and resources. Users and apps can use secrets manager to get the secrets stored with a call to Secrets Manager API, enhancing access security.",Use Secrets Manager service to store sensitive information in your AWS account.,https://docs.aws.amazon.com/secretsmanager/latest/userguide/asm_access.html,'SecretsManager:listSecrets'
Secrets Manager Encrypted Secrets,Secrets Manager,Identity and Access Management,Ensures Secrets Manager Secrets are encrypted,"Secrets Manager Secrets should be encrypted. This allows their values to be used by approved systems, while restricting access to other users of the account.",Encrypt Secrets Manager Secrets,https://docs.aws.amazon.com/secretsmanager/latest/userguide/data-protection.html,"'SecretsManager:listSecrets', 'KMS:listKeys', 'KMS:describeKey'"
LookoutMetrics Anomaly Detector Encrypted,LookoutMetrics,Content Delivery,Ensure that Amazon LookoutMetrics Anomaly Detector is encrypted using desired KMS encryption level,"Amazon Lookout for Metrics encrypts your data at rest with your choice of an encryption key. If you do not specify an encryption key, your data is encrypted with AWS owned key by default. '",Encrypt Amazon LookoutMetrics Anomaly Detector with customer-manager keys (CMKs),https://docs.aws.amazon.com/lookoutmetrics/latest/dev/security-dataprotection.html#security-privacy-atrest,"'LookoutMetrics:listAnomalyDetectors','LookoutMetrics:describeAnomalyDetector', 'KMS:describeKey', 'KMS:listKeys'"
LookoutEquipment Dataset Encrypted,LookoutEquipment,Content Delivery,Ensure that Amazon Lookout for Equipment datasets are encrypted using desired KMS encryption level,Amazon Lookout for Equipment encrypts your data at rest with AWS owned KMS key by default. ',Encrypt Amazon LookoutEquipment Dataset with customer-manager keys (CMKs),https://docs.aws.amazon.com/lookout-for-equipment/latest/ug/encryption-at-rest.html,"'LookoutEquipment:listDatasets','LookoutEquipment:describeDataset', 'KMS:describeKey', 'KMS:listKeys'"
Model Data Encrypted,Lookout,Management and Governance,Ensure that Lookout for Vision model data is encrypted using desired KMS encryption level,"By default, trained models and manifest files are encrypted in Amazon S3 using server-side encryption with KMS keys stored in AWS Key Management Service (SSE-KMS). '",Encrypt LookoutVision model with customer-manager keys (CMKs) present in your account,https://docs.aws.amazon.com/lookout-for-vision/latest/developer-guide/security-data-encryption.html,"'LookoutVision:listProjects', 'LookoutVision:listModels', 'LookoutVision:describeModel', 'KMS:describeKey', 'KMS:listKeys'"
Environment Admin Privileges,MWAA,Compute,Ensures no Amazon MWAA environment available in your AWS account has admin privileges.,Amazon MWAA environments should have most-restrictive IAM permissions for security best practices.,Modify IAM role attached with MWAA environment to provide the minimal amount of access required to perform its tasks,https://docs.aws.amazon.com/mwaa/latest/userguide/manage-access.html,"'MWAA:listEnvironments', 'MWAA:getEnvironment', 'IAM:listRoles', 'IAM:listAttachedRolePolicies', 'IAM:listRolePolicies"
Web Server Public Access,MWAA,Compute,Ensures web access to the Apache Airflow UI in your MWAA environment is not public.,"To restrict access to the Apache Airflow UI, environment should be configured to be accessible only from within the VPC selected.",Modify Amazon MWAA environments to set web server access mode to be private only,https://docs.aws.amazon.com/mwaa/latest/userguide/vpc-create.html,"'MWAA:listEnvironments', 'MWAA:getEnvironment', 'STS:getCallerIdentity'"
Environment Data Encrypted,MWAA,Compute,Ensure that AWS MWAA environment data is encrypted,Amazon MWAA encrypts data saved to persistent media with AWS-manager keys by default. ',Create MWAA environments with customer-manager keys (CMKs),https://docs.aws.amazon.com/mwaa/latest/userguide/encryption-at-rest.html,"'MWAA:listEnvironments','MWAA:getEnvironment', 'KMS:describeKey', 'KMS:listKeys', 'STS:getCallerIdentity'"
KMS Duplicate Grants,KMS,Application Integration,Ensure that AWS KMS keys does not have duplicate grants to adhere to AWS security best practices.,"Duplicate grants have the same key ARN, API actions, grantee principal, encryption context, and name. '",Delete duplicate grants for AWS KMS keys,https://docs.aws.amazon.com/kms/latest/developerguide/grants.html,"'KMS:listKeys', 'KMS:listGrants', 'KMS:describeKey'"
KMS Scheduled Deletion,KMS,Application Integration,Detects KMS keys that are scheduled for deletion,Deleting a KMS key will permanently prevent all data encrypted using that key from being decrypted. Avoid deleting keys unless no encrypted data is in use.,Disable the key deletion before the scheduled deletion time.,http://docs.aws.amazon.com/kms/latest/developerguide/deleting-keys.html,"'KMS:listKeys', 'KMS:describeKey'"
KMS Grant Least Privilege,KMS,Application Integration,Ensure that AWS KMS key grants use the principle of least privileged access.,AWS KMS key grants should be created with minimum set of permissions required by grantee principal to adhere to AWS security best practices.,Create KMS grants with minimum permission required,https://docs.aws.amazon.com/kms/latest/developerguide/grants.html,"'KMS:listKeys', 'KMS:listGrants', 'KMS:describeKey'"
App-Tier KMS Customer Master Key (CMK),KMS,Application Integration,Ensures that there is one Amazon KMS Customer Master Key (CMK) present in the account for App-Tier resources.,Amazon KMS should have Customer Master Key (CMK) for App-Tier to protect data in transit.,Create a Customer Master Key (CMK) with App-Tier tag,https://docs.aws.amazon.com/kms/latest/developerguide/create-keys.html,"'KMS:listKeys', 'ResourceGroupsTaggingAPI:getTagKeys', 'KMS:listResourceTags'"
KMS Key Policy,KMS,Application Integration,Validates the KMS key policy to ensure least-privilege access.,KMS key policies should be designed to limit the number of users who can perform encrypt and decrypt operations. Each application should use its own key to avoid over exposure.,Modify the KMS key policy to remove any wildcards and limit the number of users and roles that can perform encrypt and decrypt operations using the key.,http://docs.aws.amazon.com/kms/latest/developerguide/key-policies.html,"'KMS:listKeys', 'STS:getCallerIdentity', 'KMS:getKeyPolicy', 'KMS:describeKey', 'Organizations:listAccounts'"
KMS Key Rotation,KMS,Application Integration,Ensures KMS keys are set to rotate on a regular schedule,"All KMS keys should have key rotation enabled. AWS will handle the rotation of the encryption key itself, as well as storage of previous keys, so previous data does not need to be re-encrypted before the rotation occurs.",Enable yearly rotation for the KMS key,http://docs.aws.amazon.com/kms/latest/developerguide/rotate-keys.html,"'KMS:listKeys', 'KMS:describeKey', 'KMS:getKeyRotationStatus', 'KMS:getKeyPolicy'"
KMS Default Key Usage,KMS,Application Integration,Checks AWS services to ensure the default KMS key is not being used,It is recommended not to use the default key to avoid encrypting disparate sets of data with the same key. Each application should have its own customer-managed KMS key,Avoid using the default KMS key,http://docs.aws.amazon.com/kms/latest/developerguide/concepts.html,"'KMS:listKeys', 'KMS:describeKey', 'KMS:listAliases', 'CloudTrail:describeTrails"
Event Bus Cross Account Access,EventBridge,Management and Governance,Ensure that EventBridge event bus is configured to allow access to whitelisted AWS account principals.,EventBridge event bus policy should be configured to allow access only to whitelisted/trusted cross-account principals.,Configure EventBridge event bus policies that allow access to whitelisted/trusted cross-account principals.,https://docs.amazonaws.cn/en_us/eventbridge/latest/userguide/eb-event-bus-perms.html,"'EventBridge:listEventBuses', 'STS:getCallerIdentity', 'Organizations:listAccounts'"
EventBridge Event Rules In Use,EventBridge,Management and Governance,Ensure that Amazon EventBridge Events service is in use in order to enable you to react selectively and efficiently to system events.,"Amazon EventBridge Events delivers a near real-time stream of system events that describe changes in Amazon Web Services (AWS) resources. Using simple rules that you can quickly set up, you can match events and route them to one or more target functions or streams.",Create EventBridge event rules to meet regulatory and compliance requirement within your organization.,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-rules.html,'EventBridge:listRules'
Event Bus Public Access,EventBridge,Management and Governance,Ensure that EventBridge event bus is configured to prevent exposure to public access.,The default event bus in your Amazon account only allows events from one account. You can grant additional permissions to an event bus by attaching a resource-based policy to it.,Configure EventBridge event bus policies that allow access to whitelisted/trusted account principals but not public access.,https://docs.amazonaws.cn/en_us/eventbridge/latest/userguide/eb-event-bus-perms.html,"'EventBridge:listEventBuses', 'STS:getCallerIdentity'"
Fraud Detector Data Encrypted,Fraud Detector,Application Integration,Ensure that Amazon Fraud Detector has encryption enabled for data at rest with desired KMS encryption level.,Amazon Fraud Detector encrypts your data at rest with AWS-managed KMS key. Use customer-manager KMS keys (CMKs) instead in order to follow your organizations\'s security and compliance requirements.,Enable encryption for data at rest using PutKMSEncryptionKey API,https://docs.aws.amazon.com/frauddetector/latest/ug/encryption-at-rest.html,"'FraudDetector:getDetectors', 'FraudDetector:getKMSEncryptionKey', 'KMS:listKeys', 'KMS:describeKey'"
Elastic Transcoder Job Outputs Encrypted,Elastic Transcoder,Application Integration,Ensure that Elastic Transcoder jobs have encryption enabled to encrypt your data before saving on S3.,"Amazon Elastic Transcoder jobs saves th result output on S3. If you don\'t configure encryption parameters, these job will save the file unencrypted. '",Enable encryption for Elastic Transcoder job outputs,https://docs.aws.amazon.com/elastictranscoder/latest/developerguide/encryption.html,"'ElasticTranscoder:listPipelines', 'ElasticTranscoder:listJobsByPipeline'"
Elastic Transcoder Pipeline Data Encrypted,Elastic Transcoder,Application Integration,Ensure that Elastic Transcoder pipelines have encryption enabled with desired encryption level to encrypt your data.,Amazon Elastic Transcoder pipelines use AWS-managed KMS keys to encrypt your data.',Modify Elastic Transcoder pipelines encryption settings to use custom KMS key,https://docs.aws.amazon.com/elastictranscoder/latest/developerguide/encryption.html,"'ElasticTranscoder:listPipelines', 'KMS:listKeys', 'KMS:describeKey'"
VPC Flow Logs Metric Alarm,CloudWatch,Compliance,Ensure that an AWS CloudWatch alarm exists and configured for metric filter attached with VPC flow logs CloudWatch group.,A metric alarm watches a single CloudWatch metric or the result of a math expression based on CloudWatch metrics. ',"Create a CloudWatch group, attached metric filter to log VPC flow logs changes and create an CloudWatch alarm for the metric filter.",https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/AlarmThatSendsEmail.html,"'CloudWatchLogs:describeMetricFilters', 'CloudWatch:describeAlarms'"
AWS Glue Data Catalog Encryption Enabled,Glue,Content Delivery,Ensures that AWS Glue Data Catalogs has encryption at-rest enabled.,Encryption should be enabled for metadata objects stored in your AWS Glue Data Catalog to secure sensitive data.,Modify Glue data catalog settings and enable metadata encryption,https://docs.aws.amazon.com/glue/latest/dg/encrypt-glue-data-catalog.html,"'Glue:getDataCatalogEncryptionSettings', 'KMS:listKeys', 'KMS:describeKey'"
AWS Glue CloudWatch Encrypted Logs,AWS Glue,Content Delivery,Ensures that encryption at-rest is enabled when writing AWS Glue logs to Amazon CloudWatch.,AWS Glue should have encryption at-rest enabled for AWS Glue logs to ensure security of AWS Glue logs.,Modify Glue Security Configurations to enable CloudWatch logs encryption at-rest,https://docs.aws.amazon.com/glue/latest/dg/console-security-configurations.html,"'Glue:getSecurityConfigurations', 'STS:getCallerIdentity'"
AWS Glue Data Catalog CMK Encrypted,Glue,Content Delivery,Ensures that AWS Glue has data catalog encryption enabled with KMS Customer Master Key (CMK).,AWS Glue should have data catalog encryption enabled with KMS Customer Master Key (CMK) instead of AWS-managed Key in order to gain more granular control over encryption/decryption process.,Modify Glue data catalog to use CMK instead of AWS-managed Key to encrypt Metadata,https://docs.aws.amazon.com/glue/latest/dg/encrypt-glue-data-catalog.html,"'Glue:getDataCatalogEncryptionSettings', 'KMS:listKeys', 'KMS:describeKey'"
AWS Glue S3 Encryption Enabled,Glue,Content Delivery,Ensures that encryption at-rest is enabled when writing AWS Glue data to Amazon S3.,AWS Glue should have encryption at-rest enabled for Amazon S3 to ensure security of data at rest and to prevent unauthorized access.,Recreate AWS Glue Security Configuration to enable Amazon S3 encryption at-rest,https://docs.aws.amazon.com/glue/latest/dg/console-security-configurations.html,"'Glue:getSecurityConfigurations', 'STS:getCallerIdentity', 'KMS:listKeys', 'KMS:describeKey'"
AWS Glue Job Bookmark Encryption Enabled,Glue,Content Delivery,Ensures that AWS Glue job bookmark encryption is enabled.,AWS Glue security configuration should have job bookmark encryption enabled in order to encrypt the bookmark data before it is sent to Amazon S3.,Recreate Glue security configurations and enable job bookmark encryption,https://docs.aws.amazon.com/glue/latest/dg/console-security-configurations.html,"'Glue:getSecurityConfigurations', 'STS:getCallerIdentity'"
S3 Bucket Public Access Block,S3,Storage,Ensures S3 public access block is enabled on all buckets or for AWS account,Blocking S3 public access at the account level or bucket-level ensures objects are not accidentally exposed.,Enable the S3 public access block on all S3 buckets or for AWS account.,https://docs.aws.amazon.com/AmazonS3/latest/dev/access-control-block-public-access.html,"'S3:listBuckets', 'S3:getPublicAccessBlock', 'S3:getBucketLocation', 'S3Control:getPublicAccessBlock', 'STS:getCallerIdentity'"
S3 Bucket Encryption In Transit,S3,Storage,Ensures S3 buckets have bucket policy statements that deny insecure transport,S3 bucket policies can be configured to deny access to the bucket over HTTP.,Add statements to the bucket policy that deny all S3 actions when SecureTransport is false. Resources must be list of bucket ARN and bucket ARN with wildcard.,https://aws.amazon.com/premiumsupport/knowledge-center/s3-bucket-policy-for-config-rule/,"'S3:listBuckets', 'S3:getBucketPolicy', 'S3:getBucketWebsite', 'S3:getBucketLocation'"
S3 Bucket Lifecycle Configuration,S3,Storage,Ensures that S3 buckets have lifecycle configuration enabled to automatically transition S3 bucket objects.,S3 bucket should have lifecycle configuration enabled to automatically downgrade the storage class for your objects.,Update S3 bucket and create lifecycle rule configuration,https://docs.aws.amazon.com/AmazonS3/latest/dev/how-to-set-lifecycle-configuration-intro.html,"'S3:listBuckets', 'S3:getBucketLifecycleConfiguration', 'S3:getBucketLocation'"
S3 Bucket All Users ACL,S3,Storage,"Ensures S3 buckets do not allow global write, delete, or read ACL permissions","S3 buckets can be configured to allow anyone, regardless of whether they are an AWS user or not, to write objects to a bucket or delete objects. This option should not be configured unless there is a strong business requirement.",Disable global all users policies on all S3 buckets and ensure both the bucket ACL is configured with least privileges.,http://docs.aws.amazon.com/AmazonS3/latest/UG/EditingBucketPermissions.html,"'S3:listBuckets', 'S3:getBucketAcl', 'S3:getBucketLocation'"
S3 Transfer Acceleration Enabled,S3,Storage,Ensures that S3 buckets have transfer acceleration enabled to increase the speed of data transfers.,S3 buckets should have transfer acceleration enabled to increase the speed of data transfers in and out of Amazon S3 using AWS edge network.,Modify S3 bucket to enable transfer acceleration.,https://docs.aws.amazon.com/AmazonS3/latest/dev/transfer-acceleration.html,"'S3:listBuckets', 'S3:getBucketAccelerateConfiguration', 'S3:getBucketLocation'"
S3 Bucket Encryption Enforcement,S3,Storage,All statements in all S3 bucket policies must have a condition that requires encryption at a certain level,"S3 buckets support numerous types of encryption, including AES-256, KMS using a default key, KMS with a CMK, or via HSM-based key.",Configure a bucket policy to enforce encryption.,https://aws.amazon.com/blogs/security/how-to-prevent-uploads-of-unencrypted-objects-to-amazon-s3/,"'S3:listBuckets', 'S3:getBucketPolicy', 'S3:getBucketWebsite', 'KMS:listKeys', 'KMS:describeKey', 'S3:getBucketLocation'"
S3 Bucket Website Enabled,S3,Storage,Ensures S3 buckets are not configured with static website hosting,"S3 buckets should not be configured with static website hosting with public objects. Instead, a CloudFront distribution should be configured with an origin access identity.",Disable S3 bucket static website hosting in favor or CloudFront distributions.,https://aws.amazon.com/premiumsupport/knowledge-center/cloudfront-https-requests-s3/,"'S3:listBuckets', 'S3:getBucketWebsite', 'S3:getBucketLocation', 'S3:listObjects'"
S3 Bucket Policy CloudFront OAI,S3,Storage,Ensures S3 bucket is origin to only one distribution and allows only that distribution.,Access to CloudFront origins should only happen via ClouFront URL and not from S3 URL or any source in order to restrict access to private data.,Review the access policy for S3 bucket which is an origin to a CloudFront distribution. Make sure the S3 bucket is origin to only one distribution. ',https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/private-content-restricting-access-to-s3.html,"'CloudFront:listDistributions', 'S3:listBuckets', 'S3:getBucketPolicy', 'S3:getBucketLocation'"
S3 Secure Transport Enabled,S3,Storage,Ensure AWS S3 buckets enforce SSL to secure data in transit,S3 buckets should be configured to strictly require SSL connections ',Update S3 bucket policy to enforse SSL to secure data in transit.,https://aws.amazon.com/premiumsupport/knowledge-center/s3-bucket-policy-for-config-rule/,"'S3:listBuckets', 'S3:getBucketPolicy', 'S3:getBucketLocation'"
S3 Bucket Encryption,S3,Storage,Ensures object encryption is enabled on S3 buckets,S3 object encryption provides fully-managed encryption of all objects uploaded to an S3 bucket.,Enable CMK KMS-based encryption for all S3 buckets.,https://docs.aws.amazon.com/AmazonS3/latest/dev/bucket-encryption.html,"'S3:listBuckets', 'S3:getBucketEncryption', 'KMS:listKeys', 'KMS:describeKey"
S3 Bucket Has Tags,S3,Storage,Ensure that AWS S3 Bucket have tags associated.,Tags help you to group resources together that are related to or associated with each other. It is a best practice to tag cloud resources to better organize and gain visibility into their usage.,Modify S3 buckets and add tags.,https://docs.aws.amazon.com/AmazonS3/latest/userguide/CostAllocTagging.html,"'S3:listBuckets', 'ResourceGroupsTaggingAPI:getResources'"
